slug,title,authors,arxiv_url,bib_key,github_repo,github_stars_badge,google_scholar_link,google_scholar_cites,google_scholar_badge_url,google_scholar_badge_local,github_stars_badge_local,github_stars,google_scholar_badge_local_flat,github_stars_badge_local_flat
3dv2024pix4point,Pix4Point: Image Pretrained Standard Transformers for 3D Point Cloud Understanding,"__**Guocheng Qian**__, Abdullah Hamdi, Xingdi Zhang, Bernard Ghanem",https://arxiv.org/abs/2208.12259,,,,,,,,,,,
arxiv2024atom,AToM: Amortized Text-to-Mesh using 2D Diffusion,"__**Guocheng Qian**__, Junli Cao, Aliaksandr Siarohin, Yash Kant, Chaoyang Wang, Michael Vasilkovsky, Hsin-Ying Lee, Yuwei Fang, Ivan Skorokhodov, Peiye Zhuang, Igor Gilitschenski, Jian Ren, Bernard Ghanem, Kfir Aberman, Sergey Tulyakov",https://arxiv.org/abs/2402.00867,,,,,,,,,,,
arxiv25canvas-to-image,Canvas-to-Image: Compositional Image Generation with Multimodal Controls,"Yusuf Dalva*, __**Guocheng Gordon Qian**__*<sup>†</sup>, Maya Goldenberg, Tsai-Shien Chen, Kfir Aberman, Sergey Tulyakov, Pinar Yanardag, Kuan-Chieh Jackson Wang",https://arxiv.org/abs/2511.21691,,,,,,,,,,,
arxiv25layercomposer,LayerComposer: Multi-Human Personalized Generation via Layered Canvas,"__**Guocheng Gordon Qian**__, Ruihang Zhang, Tsai-Shien Chen, Yusuf Dalva, Anujraaj Goyal, Willi Menapace, Ivan Skorokhodov, Daniil Ostashev, Meng Dong, Arpit Sahni, Ju Hu, Sergey Tulyakov, Kuan-Chieh Jackson Wang",https://arxiv.org/abs/2510.20820,,,,,,,,,,,
cvpr2020sgas,SGAS: Sequential Greedy Architecture Search,"__**Guocheng Qian***__, Guohao Li*, Itzel C. Delgadillo*, Matthias Müller, Ali Thabet, Bernard Ghanem",https://arxiv.org/abs/1912.00195,,lightaime/sgas,https://img.shields.io/github/stars/lightaime/sgas?style=social,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DUDaxg4AAAAJ&citation_for_view=DUDaxg4AAAAJ:2osOgNQ5qMEC,290,https://img.shields.io/badge/Cites-290-white?style=social&logo=googlescholar&color=blue,/img/pub/cvpr2020sgas_cites.png,/img/pub/cvpr2020sgas_stars.png,162,/img/pub/cvpr2020sgas_cites_flat.png,/img/pub/cvpr2020sgas_stars_flat.png
cvpr2024ac3d,AC3D: Analyzing and Improving 3D Camera Control in Video Diffusion Transformers,"Sherwin Bahmani, Ivan Skorokhodov, __**Guocheng Qian**__, Aliaksandr Siarohin, Willi Menapace, Andrea Tagliasacchi, David B. Lindell, Sergey Tulyakov",https://arxiv.org/abs/2411.18673,,,,,,,,,,,
cvpr2025omniid,Omni-ID: Holistic Identity Representation Designed for Generative Tasks,"__**Guocheng Qian**__, Kuan-Chieh Wang, Or Patashnik, Negin Heravi, Daniil Ostashev, Sergey Tulyakov, Daniel Cohen-Or, Kfir Aberman",https://arxiv.org/abs/2412.09694,,,,,,,,,,,
cvpr2025wonderland,Wonderland: Navigating 3D Scenes from a Single Image,"Hanwen Liang, Junli Cao, Vidit Goel, __**Guocheng Qian**__, Sergei Korolev, Demetri Terzopoulos, Konstantinos N. Plataniotis, Sergey Tulyakov, Jian Ren",https://arxiv.org/abs/2412.12091,,,,,,,,,,,
cvpr21pugcn,PU-GCN: Point Cloud Upsampling using Graph Convolutional Networks,"__**Guocheng Qian**__, Abdulellah Abualshour, Guohao Li, Ali Thabet, Bernard Ghanem",https://arxiv.org/abs/1912.03264.pdf,,guochengqian/PU-GCN,https://img.shields.io/github/stars/guochengqian/PU-GCN?style=social,https://scholar.google.com/citations?view_op=view_citation&hl=en&user=DUDaxg4AAAAJ&citation_for_view=DUDaxg4AAAAJ:qjMakFHDy7sC,349,https://img.shields.io/badge/Cites-349-white?style=social&logo=googlescholar&color=blue,/img/pub/cvpr21pugcn_cites.png,/img/pub/cvpr21pugcn_stars.png,199,/img/pub/cvpr21pugcn_cites_flat.png,/img/pub/cvpr21pugcn_stars_flat.png
iccp2022tenet,"Rethinking Learning-based Demosaicing, Denoising, and Super-Resolution Pipeline","__**Guocheng Qian**__, Yuanhao Wang, Jinjin Gu, Chao Dong, Wolfgang Heidrich, Bernard Ghanem, Jimmy S. Ren",https://arxiv.org/abs/1905.02538,,guochengqian/TENet,https://img.shields.io/github/stars/guochengqian/TENet?style=social,,,https://img.shields.io/badge/Cites-106-white?style=social&logo=googlescholar&color=blue,/img/pub/iccp2021tenet_cites.png,/img/pub/iccp2022tenet_stars.png,301,,/img/pub/iccp2022tenet_stars_flat.png
